iter	Passed	Remaining
0	188	18684
1	207	10166
2	221	7148
3	231	5565
4	243	4621
5	253	3967
6	264	3513
7	276	3182
8	291	2950
9	303	2735
10	320	2589
11	335	2462
12	349	2337
13	371	2283
14	424	2402
15	447	2348
16	468	2288
17	485	2209
18	503	2145
19	518	2074
20	533	2006
21	569	2017
22	603	2020
23	621	1968
24	661	1983
25	678	1932
26	697	1884
27	713	1834
28	728	1782
29	745	1738
30	758	1688
31	774	1645
32	788	1600
33	801	1556
34	813	1510
35	826	1469
36	839	1428
37	853	1392
38	864	1352
39	877	1316
40	888	1278
41	899	1241
42	911	1208
43	924	1176
44	937	1145
45	947	1112
46	958	1081
47	969	1050
48	979	1019
49	990	990
50	1001	961
51	1011	933
52	1021	906
53	1033	880
54	1045	855
55	1055	829
56	1066	804
57	1076	779
58	1086	755
59	1100	733
60	1112	711
61	1125	689
62	1138	668
63	1151	647
64	1162	626
65	1175	605
66	1187	585
67	1199	564
68	1209	543
69	1221	523
70	1234	504
71	1246	484
72	1258	465
73	1270	446
74	1281	427
75	1293	408
76	1305	389
77	1319	372
78	1331	353
79	1344	336
80	1356	318
81	1366	299
82	1377	282
83	1389	264
84	1401	247
85	1412	229
86	1424	212
87	1436	195
88	1449	179
89	1460	162
90	1471	145
91	1483	128
92	1492	112
93	1507	96
94	1522	80
95	1535	63
96	1547	47
97	1558	31
98	1570	15
99	1583	0
